construct	path	first	last	sha256	kind
player-enable-media-probe	src/components/playback/playbackmanager.js	482	484	ba821db5a2ba9a4c215b8fb31e4c946de5491cfbe7d244759e614504dd3f0d99	dead
player-supports-play-method	src/components/playback/playbackmanager.js	487	491	36e4a10ddbf5287799554f680146ad27cdd46f4c423ee14e3f793f03e7bcf3a7	dead
player-direct-play-protocols	src/components/playback/playbackmanager.js	493	495	2c5cb411f61b7fc7f3c880eb6d771c15233b42a47bfa008f22c4b8e80f6afff6	dead
device-profile-object	src/scripts/browserDeviceProfile.js	504	509	861bfdb7516f02b42a1be79cab2320d576dc34366a6ad6b8a405bff7308e4084	ported
user-settings-scope	src/scripts/settings/userSettings.js	116	123	c52581025db40001281b7976831f8aaa9753e980e1b63d3d7ef580f0b9ef37c5	ported
ua-match	src/scripts/browser.js	188	243	abb37710d20411d0acc712a6a0b314b692752ea3afba5931d709270b29f34edd	ported
ua-match-platform	src/scripts/browser.js	207	217	12ded4d2701778bfa553ea35e5e9847ed6f3212921972e005453d37a8c4411d9	ported
ios-version	src/scripts/browser.js	78	98	4fe763f44f633bf3892a7a5804b47012401429d507907728ec565b8b94d8d9dd	ported
web0s-version	src/scripts/browser.js	101	147	34c7e60d30bd268c928d315240ace668040ed64488221aadb52333bb695f9885	ported
tizen-version	src/scripts/browser.js	302	303	aa7d7a57f1720652298e6826b05bb3f161e3bf76f8d179512c10d2f551f28664	ported
detect-browser	src/scripts/browser.js	245	346	471903e8dfea0ec74c096fee28293a6c76c93549681d9864eff149cc8e2bead6	ported
subtitle-burnin-setting	src/scripts/browserDeviceProfile.js	1569	1570	eed4178fe74ca2c69f100a88138f7d69961b28d074e577e0746de573a3443c21	ported
max-video-width-setting	src/scripts/settings/appSettings.js	114	120	69ad5e9f718eb24bd3cf5f343ff5ffa52aecb92b15242e5fee3164868de083b2	ported
allowed-audio-channels-setting	src/scripts/settings/userSettings.js	146	152	9769ba84abef3a100ed8a43d3eec05b18dfeed872aae6d6d3b882de2ea3adbbb	ported
prefer-fmp4-hls-container	src/scripts/settings/userSettings.js	159	166	d327656c8985a1fa1492c96c7033596eb2b95bf69f544cb38d23acf8d3f2988b	ported
video-test-element	src/scripts/browserDeviceProfile.js	493	493	6923d02cc35fe6fc7ff296ffd73d89b77d10813919c5be827797551b7def2ca8	ported
safari-opus-probe	src/scripts/browserDeviceProfile.js	499	499	ae9b9bca8989cb217900f7bb89ff2ffe4c71b74bad6a4849b8b1dbe2dfe59713	ported
supports-audio-codec	src/scripts/browserDeviceProfile.js	204	204	a1bd79de275add3f6081ef0c9401bc1fb65d9d07c790d23587db3e4852b42ae6	ported
supports-text-tracks	src/scripts/browserDeviceProfile.js	42	54	9cd6ae3d047a5b51cc15a30ae0d43dde7b8aec25b27d4c5542522e2a4fca3ca2	ported
supports-canvas-2d	src/scripts/browserDeviceProfile.js	56	63	a256da84db658f5a098c236ea320248ad4751f9c5ef1bf48c9e84c3a08abb509	ported
can-play-hls-with-mse	src/scripts/browserDeviceProfile.js	92	95	56b485d179bf16fe7dd882aee0c23457c9974c1a00048da56f9bf98a7904d3ad	ported
get-speaker-count	src/scripts/browserDeviceProfile.js	412	430	2ea1b78b046aadb1a5d960c89b6e6a8ad4f06cedc99d569388e70c3395650c5c	ported
xbox-screen-width	src/scripts/browserDeviceProfile.js	532	532	a0c9b64c7293207344e6ec7b8a74699a1daecaef5d1066eb0118bc548e343fc7	ported
can-play-secondary-audio	src/scripts/browserDeviceProfile.js	476	486	670ba3d9db3c6ea898b589b45dc3135cdf9046a433792dbe67b0959dc717c2ab	ported
browser-device-profile	src/scripts/browserDeviceProfile.js	488	1606	fce54c7e0c226dde1d4db71ed472307717eb23319300299ed9f9ed8eeb964d63	ported
app-host-screen	src/components/apphost.js	411	431	dc613c1bff522bfee95f38f9ff7401cbbfe41232c56aa886fd175caced9588f1	ported
get-base-profile-options	src/components/apphost.js	28	48	ad7ba977260d5848066e5a36ee3b5b469f7a4efdcdba96d9dfb49174a62783fb	ported
get-device-profile	src/components/apphost.js	50	122	9f8521e1b083541e9d44fe27c59b82c7b9cdf70b217d1f382add4a73d45c2e74	ported
enable-hls-js-player	src/components/htmlMediaHelper.js	41	75	6b23d128b7161b07a4e440300646dc1f997995e9d0aebcb6d0222f4ff70763d3	ported
always-burn-in-setting	src/components/playback/playbackmanager.js	497	497	7c7abf4e06e8613333a2023b37f1b364e3b74d7b9409b05216170ccbdfb785be	ported
params-to-string	jellyfin-apiclient:src/apiClient.js	56	67	311cf80203e0dd8ccd04430d2a7ad514ac46b389ae5bf6eddd1070529b986d39	ported
get-playback-info	src/components/playback/playbackmanager.js	434	503	5bbfa810dae43647679da39f786ac5580e6bfd12a6de7af9175ab188cc710c56	ported
get-live-stream	src/components/playback/playbackmanager.js	536	574	74775806b61a101080830915abfd5bc87573c1905fc462498b5aa7cff8c22392	ported
supports-direct-play	src/components/playback/playbackmanager.js	599	619	4f801cdf88434638943c6d05ef12b0c00d8024477224a1fdad8fbb10caba8235	ported
get-playback-media-source	src/components/playback/playbackmanager.js	2941	2976	90d40bf77c9a48874fa0e0df937799d9e16535e4ad8917a63ddbd67b8e18df99	ported
set-subtitle-stream-index	src/components/playback/playbackmanager.js	1509	1566	d2aa6d4f914108b343809e14f2d9a97ec5625a3f62030af0b85520e26346cdc3	ported
app-name	src/components/apphost.js	10	10	13141024c002b64cf3ff3d9ed6130e4188ec3b72a8e777693d4c63ae4fe44929	ported
get-device-name	src/components/apphost.js	151	172	e309fb0a15529c1a203da2e3a269d845bb204921152603eb997f6221b11ef073	ported
app-version	package.json	3	3	c8612bef0346c70554ad182face8760a562e479d2a9da98b012099c598b6fc12	ported
generate-device-id	src/components/apphost.js	124	134	b99411fb2dd1c09f7e0815fe9c37dfcd57f061d162bb28095e0992aa3ce0050d	ported
get-device-id	src/components/apphost.js	136	148	8b96d99e553c2e7a952694306537ac3bd2854421143fedb5cd6f26b565c0e1f5	ported
set-request-headers	jellyfin-apiclient:src/apiClient.js	166	195	161cfa9bfecce262d534465c498939979540752a9017a1fc7c1930059ece1c41	ported
get-text-tracks	src/components/playback/playbackmanager.js	2908	2939	23d2cf82de070471ec9ea2d9c62c76b14488a8b6fa9cc8b80ecbc579af931457	ported
get-delivery-method	src/components/playback/playbackmanager.js	1500	1507	b0f6efe750e35f5311287682aaf58868412aa90f0ef03c6fa1497226befff71e	ported
create-stream-info	src/components/playback/playbackmanager.js	2827	2881	103872b086bdef0c77e925ab520c1fd48ac8825d80b84011bf18a9efe4fc80ce	ported
get-audio-stream-url	src/components/playback/playbackmanager.js	305	326	fe9e3da7f115af955f7c52ef8532d1b1448789c1217d4f67eedf6b969dfcc8ad	ported
get-audio-max-values	src/components/playback/playbackmanager.js	277	302	d7013e7f29ae597a6acb31cc4d897c6ab15b0435118ff84f0e53e4af501f52e2	dead
get-param	src/components/playback/playbackmanager.js	213	225	f60cb61513a9387c6f32a9c92789bc704bb54076b29bcfd12f8a92790aa554ca	ported
audio-stream-short-circuit	src/components/playback/playbackmanager.js	416	426	02d5c6c69f997a24850428ebc3ed57c9a7602d9434f11829eb80f3ff4e6b6dd0	ported
is-host-reachable	src/components/playback/playbackmanager.js	576	597	5a089dcda20124ccf0ea1af3726d3323b9aaeb0864f3d23c40364be34454d591	ported
get-optimal-media-source	src/components/playback/playbackmanager.js	505	534	d74558f6e8c9155b8610dc0d04d1a5b46166e85f5b12201c4d573331d2a11035	ported
get-endpoint-info	jellyfin-apiclient:src/apiClient.js	3864	3875	c7f6ecb14cf772543ebc4fb77dee6e8c56d7db7114b03d698fd8b38ac3a7c948	ported
remote-video-grant	src/components/apphost.js	265	267	eda112af6c92e74df319a4deec49ac69de7613877d0df9a832e4576bb2302cce	ported
enable-remote-media	src/components/playback/playbackmanager.js	323	323	99ec3b8ad22b566a9b52c3e00ff9793e700bf2380fa59edf8f039e3d9bf4f506	ported
max-bitrate	jellyfin-apiclient:src/apiClient.js	12	12	794e0ccee322ca158126fc94d3a2c091c8396a21a84fbe23c4f00cf6755639ee	ported
lan-bitrate	jellyfin-apiclient:src/apiClient.js	14	14	dd37a8273ac08b8018c9adcf49a0a11bd816cb251d4695044fad06ca39128554	ported
bitratetest-timeout	jellyfin-apiclient:src/apiClient.js	16	16	4d73e65cb3a39cda65ce9ee3475c60e529b258c7e9c7105ab023b3b74ff614ff	ported
get-download-speed	jellyfin-apiclient:src/apiClient.js	761	823	f57eb0fb374d7f6164f4cb6fc95a1e5cebf1d680107656bc872278630a40a7bb	ported
detect-bitrate-memo	jellyfin-apiclient:src/apiClient.js	825	840	d5133d7d86f116ad3441ca3c5e828f0514c7a6ba1e7b61858ea16c8cf83451ed	ported
normalize-return-bitrate	jellyfin-apiclient:src/apiClient.js	4109	4132	b327d746c14db188828f092c3c421b7e3958ae96135c470afe29f4ae06b7d4c1	ported
detect-bitrate-with-endpoint-info	jellyfin-apiclient:src/apiClient.js	4153	4180	074134190fb9e597416b99bf680c840ae86bb9e0a35b8333ce9f16bf2f957b1a	ported
max-streaming-bitrate-setting	src/scripts/settings/appSettings.js	73	89	3506ffdbab4f4cfbb9b85edb8a3718642cd0e61bb8ac78748fc3465f7e27283b	ported
detect-bitrate	src/components/playback/playbackmanager.js	2575	2596	b958c5b9eba41975aa2d9f43d098635147d1140ecc8547d1d0c5fe596fc32fdc	ported
handle-hls-js-media-error	src/components/htmlMediaHelper.js	77	110	faeb617acd60dbae4f0f07b904ca874e5b7a1dca04bfcd2334b7cd36e2ca9f1d	ported
enable-hls-js-player-for-codecs	src/components/htmlMediaHelper.js	31	39	2568b866ded6343cad99b3659290e0dd0323982edca7203791b8c732b4850696	ported
report-rate-limits	jellyfin-apiclient:src/apiClient.js	6	9	4f84c56c5f47726e0988ead570645673cfc7ef25aa81ecfba638ac8d3299fed8	ported
report-playback-progress	jellyfin-apiclient:src/apiClient.js	3245	3326	9e7cd6ebf872c4cc489a77cf1bda88ed71c965daaca854b8cd2cd8a5a64a3800	ported
report-playback	src/components/playback/playbackmanager.js	75	100	bff6386b60d50d7e8787181aee5124c65e67962d655a6d8adca47be6f6ceaec0	ported
get-player-state	src/components/playback/playbackmanager.js	2152	2213	8a40a1123d5f5c81608e368eafb453aeb19d7c7f06b2655b40244d0027974b39	ported
stop-active-encodings	jellyfin-apiclient:src/apiClient.js	2043	2057	65fd13c6d0a617965069eaabed9519763dc5f7645ee5f7f733d718888c97a28f	ported
get-live-stream-media-info	src/components/playback/playbackmanager.js	3687	3698	c67b2d29dab1f6e352199d27fcabe35f008046fafafd1e50888a09550c0fbea8	ported
change-stream-to-url	src/components/playback/playbackmanager.js	1766	1782	71d83a8ed64575293d8fe88c3212278989e6b163739469efc024899886d41171	ported
on-playback-error	src/components/playback/playbackmanager.js	3396	3432	4c4db8b49ad8447aa43a4bee84e1a5c10b683f919ae01a1f2d0ee5dff2e210f9	ported
enable-intros	src/components/playback/playbackmanager.js	246	259	e3aff24e36d509eb867161e5ea0402fa089366a5a8a2bcf7d32d332daa5a188a	ported
get-intros	src/components/playback/playbackmanager.js	261	275	34359efbdfd7664d3fdd6562773cefcc2a62386db4e71ef75631b4fcd4b6ad80	ported
enable-playback-retry-with-transcoding	src/components/playback/playbackmanager.js	3384	3387	f93eff4f526350362c4da7aef3f67677542eff45566ebda1e76e5eaa48090a68	ported
scheme-scrollbar	src/themes/dark/theme.scss	1	4	35b34ef9cfbb4e6956eafa4aa0a705d8ee75abf53b47d9245b099e480cc7fa3c	ported
scheme-text	src/themes/dark/theme.scss	6	10	ccf6badf40277bf665fca40a5f147298d60bc5c25a2b3f49cdc83052b183f264	ported
scheme-header-transparent	src/themes/dark/theme.scss	27	30	e13bedfeac0bc49fbada559602831c754783d74cd913b211baa7554505787f16	ported
scheme-background	src/themes/dark/theme.scss	44	50	ffe64cfafd73227f6b3b0b03aa0de97ca5cdd1a8bbb18914afcecdb327abfbed	ported
scheme-backdrop-scrim	src/themes/dark/theme.scss	52	54	6334c94d9af8d8138a58c71b0c4556e987a9343bc9555034a936dbef884af3ec	ported
scheme-raised	src/themes/dark/theme.scss	73	81	6a97d807f8fd751350a41c2a27e481c15475a639d72b69efce13a3eec4a0973c	ported
scheme-submit	src/themes/dark/theme.scss	83	91	bb9ac30c05ab3eefb743f3f077aea102becd521469979f5a5cdfbeac70861929	ported
scheme-delete	src/themes/dark/theme.scss	93	96	785fbe79ff4ee43cefe03d1fdc9394f23daed0484bf30907f1f927735dcccb6d	ported
scheme-label	src/themes/dark/theme.scss	102	109	b6702dfd8c66706f3d2f6355e48bde8c493b7846d5db1cba863330a253db7a17	ported
scheme-card-background	src/themes/dark/theme.scss	133	151	20ee7022da163d892e4f8d54c717f93eb1d76961b0bb2ad54405a1bf2083b113	ported
scheme-secondary-text	src/themes/dark/theme.scss	153	162	352c869debe4bae9cab747bc35fa00f634f4673e34ade3d64f6a4b05327c25c3	ported
scheme-toast	src/themes/dark/theme.scss	174	178	666172c5b82f3ec7c4b9303fc3cdf0db6605e3c9e1444e7593504f866fcfd7b5	ported
scheme-list-state	src/themes/dark/theme.scss	237	243	73962c185b146b791f35f1f2f2691801e0feb6cf92aadf7cae12dbb1bc1e6955	ported
scheme-input	src/themes/dark/theme.scss	262	273	62181a81670015b3cd98e87f5d1829cac2b183bc680d36439d39510cd3027870	ported
scheme-focus	src/themes/dark/theme.scss	341	344	e8a867bb85cb6ad677a355415b4f73cec8aec97b55de9e454f9588ca3d9248bb	ported
scheme-anchors	src/themes/defaults.ts	7	30	d73689c6be39372715f73e4c877277b438695556008ed427091db30767c9a549	ported
type-root	src/styles/fonts.scss	6	23	4d75d6108496fa6acd3bbc05f9754a6f4c0b9785a0dd5de25dbe114c03c7bde3	ported
type-mobile-root	src/styles/fonts.scss	49	51	7ef46ab7183a574d30215b2fa6fe4e2b690cfa1e72170527d99f15a910698200	ported
type-line-height	src/styles/site.scss	38	44	c2f110f176b9564ac90ca0f2c82d0fa08ec348e65e6a20261589349bde7ca05c	ported
type-button-icon	src/elements/emby-button/emby-button.scss	59	62	9eff769abc7399c0dcce919acbb3ec9e271b5911f55e1f5097b4839be8895f4a	ported
control-button	src/elements/emby-button/emby-button.scss	1	32	e24789e6f03db7f101ece96ceb3819fe7d0f021b3f8c6eba51006ceb946f2c4d	ported
control-button-block	src/elements/emby-button/emby-button.scss	78	84	3189bbbe431055c1721bd54daefc784c94aa91a8be93b5595bc23bb11f626f7d	ported
list-body	src/components/listview/listview.scss	107	115	22e122f7b97f593b37b66e9bb6c89fd7d284276f6327589392c9f40641809eec	ported
control-input	src/elements/emby-input/emby-input.scss	1	17	7022eb16a031ba2f9aa38805639254d7227ddef7ee446eadebc8a2adb224ca77	ported
control-field	src/elements/emby-input/emby-input.scss	32	34	46985652945c8e10f138fe996796996c337be7497536f9b1f3be7453d4faa882	ported
page-side	src/styles/librarybrowser.scss	1380	1398	50a1e25cc1a977f4481c7e7f18db1a79bf14d7f59336006cf19d8a95bc196fde	ported
page-padded	src/styles/librarybrowser.scss	1400	1406	cb93b17d92c8d78cec48b6012c6312519be7654e86ed89ca12a360c97c39612e	ported
letter-jump	src/components/alphaPicker/style.scss	134	138	5c9e90ff86d87781bef8b9cb0d3145f1b9949eea166797bfe21a05f5e91a86d9	ported
bar-top	src/components/nowPlayingBar/nowPlayingBar.scss	23	30	eb8108dabe17a20da96abfe75dcf2b4d69d6677f4709c149b0390b3be15e893e	ported
bar-image	src/components/nowPlayingBar/nowPlayingBar.scss	43	50	a42d8f610f3a0f8043e4ae076ab22bc25b0f4479f0f7404746645e250ba70ce7	ported
progress-bar	src/components/indicators/indicators.scss	1	6	e2a74c1ecb8688c618e0153c894aaa46aacf1141250e65f73621ab39de5c6989	ported
osd-preview	src/styles/videoosd.scss	60	81	2b4495a7ee6e2ec7b6cbd6b868f39f153b74974d9d16ba7c053cb7011a86024d	ported
filter-dialog	src/components/filterdialog/style.scss	1	18	3386199b96d52a29065f5135c6193f0bf0b3465dbd6f20105ab8dede5e8a2acf	ported
guide-row	src/components/guide/guide.scss	77	87	58d9ac30dc487b057b4263e2f143287c53b2df9893c574cea61a03a40cbcc1eb	ported
guide-strip	src/components/guide/guide.scss	98	122	9b1fd214d27b47e858d9afe46942adfdfd646465e4f8195b974150064a055c2c	ported
guide-channel	src/components/guide/guide.scss	173	204	6c4a7ced41bcd2f23acd2e13e03af834a1d8c1392986fce13519f8acaddae9c5	ported
slider-track	src/elements/emby-slider/emby-slider.scss	151	169	7933c56b253f7a73c4b737eff7cd2f1b02885300abb40fb1e0b91c1835bce277	ported
slider-thumb	src/elements/emby-slider/emby-slider.scss	55	93	a112a5b8192e9ad7850447d0a4fdc1bc99630e863eced0170e216edbf3ffa371	ported
slider-marker	src/elements/emby-slider/emby-slider.scss	263	268	5030551f65a270142c07c2df7ba9d9a5d325192623c9898453beb5ae00e0682c	ported
control-icon-button	src/elements/emby-button/emby-button.scss	86	118	45503b025e4f98b1d3cafcb0f20d4f66a635a6c8e9e1305d55cc88020ad4a72e	ported
card-image-width	src/components/cardbuilder/cardBuilder.js	61	71	1b75af04297a403eb03715d76486733bf745687cb041e024f896efbd756723cd	ported
card-screen-rounding	src/components/cardbuilder/cardBuilder.js	118	131	96a43c3d5bb7a052b97c1e67e4a679b39e44e4b4cd10dd51b7896fa530453851	ported
card-resizable	src/components/cardbuilder/cardBuilderUtils.ts	39	50	3d5781719905a5eee3cb3723e9e60ed9a466517ba4189e3d67dd949df71cff66	ported
page-bottom	src/styles/site.scss	115	134	da6bb9f82946e4e68926426781b36161b7c360dbc5c97f7d1b3746ff863ff7f6	ported
page-centering	src/styles/site.scss	172	180	2f0322279a79240d5deb025830b8f85bc77406b57407358b445557953974ea6f	ported
page-standalone	src/styles/librarybrowser.scss	103	105	4b2153a4ef71b15525d84512e75575fa4fe7660c6f9f694c25e1b2175d142a36	ported
header-title	src/styles/librarybrowser.scss	172	189	2f8c8fad8dbde9525ed97704fc93a001f14b64129a54f0a85fada5bffd677a34	ported
header-logo	src/styles/librarybrowser.scss	201	210	9363e8c1db0cd7207606840262e74a44de533a1bfb06a6af1eaf8d81978b7ecd	ported
header-top	src/styles/librarybrowser.scss	238	240	e4b5ad9d413fdba0d4208e8dd7c6b6c488ff399f4a1a063ff0ae99cabaf9181b	ported
section-title	src/styles/librarybrowser.scss	1292	1300	f42cb439ecb9fe44f615faa2c1706cc0b6c2de46d5860ebbab6aa90b14332ec9	ported
section-title-cards	src/styles/librarybrowser.scss	1303	1317	100b8bcce30738ca3b8f7ba49c8dc909d6ab7443522a860922bb58def73d7703	ported
splash-logo	src/styles/site.scss	17	36	0720b5fbb0e0b0b28991354f80bd085277fcf51d1501e1f2fcb3eb12628052fd	ported
band-threshold	src/styles/librarybrowser.scss	422	426	97b6d00bf260b8803f27b275fdc3f81792e87b73e1d2e49968aa6b6321cd2726	ported
card-aspect	src/components/cardbuilder/card.scss	58	86	2f24399449711db454e202f61f52aa44006d7e0a1426499eb582632a472db75e	ported
card-box	src/components/cardbuilder/card.scss	88	99	ced046c031cf3e217e29d8c1335e74665df2594b235a3e7962896192bb885419	ported
card-box-bottom	src/components/cardbuilder/card.scss	120	128	23197c4c6e619a63ff78e1c3556721dc10564e5558b55f33dd05dc16f044a55e	ported
card-content	src/components/cardbuilder/card.scss	197	243	1707b8af4c7bd0052737b768bf93d939866aac72fe650f3762f05a2702998d2b	ported
card-container	src/components/cardbuilder/card.scss	33	51	8ca352903ecb7399c2e395fa7164ba13fa7ccf31dbcfc262da38d4280b1fa5e9	ported
card-text-centered	src/components/cardbuilder/card.scss	373	376	c14776ba455dbcd1b7216eb804a7e997b5adbe8fcd12b63e8b0a59d48a6480a0	ported
card-shadow	src/components/cardbuilder/card.scss	245	249	e94fecb864a733eafb6009107f46cc44e3eaa86a44c966251a50e09d4ab2c667	ported
card-footer	src/components/cardbuilder/card.scss	271	279	67f5e6dc68d9be83d5acd1f7c645c213f8002cd032f39faea4f29662bc91f2fc	ported
card-text	src/components/cardbuilder/card.scss	301	322	ef0f82e2ad46e467c035def9e599f52e1e32d23b10fdfca5b5a90bab6d4bc421	ported
card-icon	src/components/cardbuilder/card.scss	389	392	50ec5cc8f0f17f32c85be25e8b1003adb40a632301593af0093517cccdc6b0e3	ported
card-width	src/components/cardbuilder/card.scss	502	532	83df81190e43f7b8fee2ff162f1703d37424256c20540d39317f1a3efa54a22b	ported
card-width-ladder	src/components/cardbuilder/card.scss	534	652	1ee2ec72e4a392b3d6c600bd2311881c01aaa710e26b870cfc1c0bf6961aafbd	ported
card-rail-ladder	src/components/cardbuilder/card.scss	666	799	3de92ad0f8f0e71eba3bdc2c28016cdbdabf33167030559c74f3b725de0fe8ee	ported
card-background-index	src/components/cardbuilder/cardBuilderUtils.ts	132	155	83625e0c7a57f86181c64a2aecab7872d084b8e0e0552bf3b17f648e84b22c8f	ported
card-count-ladder	src/components/cardbuilder/cardBuilderUtils.ts	192	317	65a373fdbca9ab97ad21c3256e427c05f3fc85e38b55fc8484ce90586a084d9d	ported
login-disclaimer	src/controllers/session/login/login.scss	1	26	7082c7c4e9983ab430ba2bb2a0699383219be84536c811fae7f210c5b241c5ee	ported
dialog-fullscreen	src/components/dialogHelper/dialoghelper.scss	115	135	76dcde0540783a115a192bd74a35b3b689d1cdd2ddb8fc3f8c86221d70e64b68	ported
scheme-dialog-backdrop	src/components/dialogHelper/dialoghelper.scss	142	158	67962f638bb5c0dd9fa64b250c305c105b72302b08fb3a00cf990ad90700cca5	ported
face-base-bold-cyrillic	src/styles/noto-sans/base-700-normal.scss	10	15	ac3cedbce70cabd48e4275ac18c47062c5ec84d4b27795e8f4f8f2fef19e44e0	ported
add-server-page	src/controllers/session/addServer/index.html	1	18	ae14072044affa8d7d87b47a3050bd384fd25309c2b74acaaa25fd19fd39a42d	ported
select-server-page	src/controllers/session/selectServer/index.html	1	17	f6580d00ff265ccd52ab4b44f030a78b633fc198421c8dce0526ead690400aa1	ported
select-server-card	src/controllers/session/selectServer/index.js	36	68	dccf5021b3c96fe3841c7d760c823495730c231e092c81f8e9589486c90f480c	ported
icon-family	src/styles/site.scss	64	67	7e39ca2406521f04d0e594c227ff69bcd151652b38c3bd9d7990472038a01971	ported
login-page	src/controllers/session/login/index.html	1	58	859f78d4a5ac37252abe3ab9666d6a87be1fa05eb50604dc4460dfe39914ca3b	ported
login-user-card	src/controllers/session/login/index.js	139	185	b73a8431b5723a8025a47bb978739697006975c43b4191a08ef64d266787fcef	ported
reset-password-page	src/controllers/session/resetPassword/index.html	1	23	2adf514e73b914e4ec38812395fa385e4685471802ddc500c1c47154308f010e	ported
forgot-password-page	src/apps/stable/routes/session/forgotPassword/index.tsx	78	127	d6f85c91f538e0a4ab6dd925181b6f325f5366f1e9be1d0729cf0228f7b97431	ported
scheme-logo	src/themes/dark/theme.scss	36	38	3a6ac2d126e23451c5f410af79fb85dfbfeaf9d82a7f1ee8d9ec85ffe83fd8c3	ported
home-sections	src/types/homeSectionType.ts	16	27	de9cf89b4d6bfc1310265bfe610793e49eb4adced8998c96c6a56500ff6dddaa	ported
home-live-tv	src/components/homesections/sections/liveTv.ts	69	80	19b00f07ceecb5fc4f8546203323397990754b8e181114cd779b27f27f54405f	ported
home-live-tv-programs	src/components/homesections/sections/liveTv.ts	81	84	c48d47c7171e9beba71f1b0f881e59eb4297413854c51403977aa84d63c43f9b	dead
home-live-tv-sections	src/components/homesections/sections/liveTv.ts	86	114	8e9557ec944c03c151501469a35e1dac4dfd0d25bd8208115eda873245bd2c01	ported
home-resume	src/components/homesections/sections/resume.ts	49	56	b9ddd7ee057de70cf1745f143ae0285d56fa8702abc569eb3a72ccfa1042ea07	ported
home-next-up	src/components/homesections/sections/nextUp.ts	44	48	09591e4f49a230ea8201fe4f5d56f6e463a2c88231182978561aac8bda23a1b6	ported
home-latest	src/components/homesections/sections/recentlyAdded.ts	57	65	e5d138a3f6da64314ace4e12c146e45d64934ddb9074e8c8b498cc5da7e5910f	ported
home-library-tiles	src/components/homesections/sections/libraryTiles.ts	17	40	057c32e2b5588ee94084f3c9d6045dc37e7cd40a4c84edac48e3fb862a0acbab	ported
library-icon	src/utils/image.ts	98	120	da18aaf36836943cf9b13d8fc244275500013a107dc3658d5aa7c7e9baf646ed	ported
library-icon-channels	src/utils/image.ts	121	122	47d2d4e05ddb5900b7f359f63c9899659dac6180d504ba5f1d53335085c814c1	dead
library-icon-unknown	src/utils/image.ts	123	128	747a6878a352f04209fadd66ad6926855cc29a143657785131fb02b352df606f	ported
grid-card	src/controllers/movies/movies.js	169	179	aac3f33e1d539188f180998e20e44aaef8aa21b0008cb9856c3621797bcea88c	ported
grid-card-series	src/controllers/shows/tvshows.js	155	166	ec0eec5cc0101af488cb8f726c388a56d7f61681a8305736f76c977d970d8ea4	ported
grid-card-album	src/controllers/music/musicalbums.js	144	155	6dfd4714afdcf507a54bacea4b79226557b37d9d1581009f45439a494787391b	ported
grid-card-auto	src/controllers/list.js	552	554	404b56d2c92d9e4a1d2ea07dc6b0d9d9b645f5bc5b18b8d252e2860e19a86a18	ported
card-auto-shape	src/components/cardbuilder/cardBuilder.js	83	103	bd180854586aa0cb21ea5de3b4eea1a6881a6c68079906eb0b516df56416e8ce	ported
primary-aspect	src/components/images/imageLoader.js	178	234	b50fd3873b67e23dadc07cfd384cb1e5eb139529e171004583ee7d1af262b920	ported
